Designator,Mid X,Mid Y,Rotation,Layer
C10,94.5,-74.77,90.0,top
C11,90.5,-73.75,90.0,top
C12,92.5,-80.0,270.0,bottom
C13,87.5,-81.5,270.0,bottom
C14,95.5,-92.75,0.0,bottom
C15,96.0,-74.05,270.0,top
C16,83.73,-69.25,180.0,bottom
C17,84.02,-78.25,180.0,top
C18,84.0,-79.25,180.0,top
C19,86.5,-67.75,180.0,top
C20,88.5,-67.75,0.0,top
C21,95.5,-76.25,0.0,top
C22,95.5,-77.25,0.0,top
C7,89.5,-73.73,90.0,top
C8,93.5,-74.25,90.0,bottom
C9,93.5,-74.75,90.0,top
D1,96.0,-79.25,180.0,bottom
D2,96.729,-65.051,180.0,top
D3,94.825,-95.5,270.0,bottom
D4,82.0,-82.0,0.0,bottom
J1,90.05,-109.65,270.0,bottom
J2,96.0,-81.5,270.0,top
J3,92.74,-92.995,90.0,top
P2,89.979,-64.511,0.0,top
R15,81.5,-76.83,90.0,top
R16,88.49,-96.245,180.0,bottom
R17,88.49,-95.245,180.0,bottom
R18,88.49,-94.245,180.0,bottom
R19,88.49,-91.995,180.0,bottom
R20,88.5,-89.745,180.0,bottom
R21,88.49,-88.745,180.0,bottom
R22,92.5,-74.75,90.0,top
R4,88.479,-66.25,0.0,bottom
R5,90.729,-66.551,270.0,bottom
R6,92.25,-92.5875,90.0,bottom
R7,91.5,-74.75,90.0,top
R8,84.74,-77.25,0.0,top
R9,92.5,-82.0,90.0,bottom
SW3,82.75,-65.75,0.0,bottom
SW4,92.5,-70.75,180.0,bottom
U1,85.0,-71.155,270.0,bottom
U2,95.0,-90.25,270.0,bottom
U3,82.75,-98.25,270.0,bottom
U4,90.0,-80.75,90.0,top
U5,95.479,-68.051,90.0,bottom
Y1,89.9,-81.15,180.0,bottom
